tekst,dimensioon,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10
,spont,2,3,3,3,3,3,3,3,3,3
,imp,0,0,0,1,1,0.5,1,0.5,1,1
,arg,1,0.5,0.5,0.5,1,0.5,1,1,2,1
,inst,0,0,0,0.5,0.5,0.5,0.5,0,1,0.5
,keer,2,0,0,2,0.5,0,0.5,0,0,0
,subj,3,3,3,3,2,3,3,3,1,1
et_wikipedia_org.ela_624820.txt,abs,0.5,0.5,1,0,0.5,2,0,1,0,2
,info,2,1,3,2,2,2,2,1,0,3
,aeg,0,0,0,0.5,0,0,0,0,0,0
,afek,0,0,0,0,0,0,0,0,0,0.5
,form,2,3,1,0,0.5,1,2,0.5,0.5,0
,inter,1,0.5,0,0,0,0,0,0,0,0
,spont,3,0,0,0,0.5,0,0,0,0,0
,imp,3,2,3,0,2,3,3,0.5,3,3
,arg,0.5,1,2,0,0,2,3,1,0.5,0
,inst,0,0,0,0.5,0.5,3,0,0,3,0
,keer,1,1,2,1,0,0,2,1,2,1
,subj,0,1,0,0,0,0,0,0.5,0.5,0
et_wikipedia_org.ela_519819.txt,abs,1,2,1,3,0.5,0.5,1,0,0,0.5
,info,2,0.5,3,2,1,0.5,0.5,0,0,1
,aeg,0,0.5,0.5,1,0,1,0,0,0,1
,afek,0,0,0,0,0,1,1,0.5,1,1
,form,0.5,2,0,0,2,1,2,2,2,2
,inter,0,0.5,0,0,0,1,0.5,0.5,1,1
,spont,0,0,0,0,0.5,0,0,0,0,1
,imp,1,0,1,2,3,2,2,2,0.5,0.5
,arg,1,0,0,0,1,2,2,2,2,2
,inst,0,1,0,2,2,2,1,0,3,0
,keer,0,0,0.5,0,1,0,2,0,2,0
,subj,0,0,0,0,0,2,0,0,0,0
blablabla_ee.ela_504829.txt,abs,0,0,1,0,0.5,0,1,0,0,0
,info,1,0.5,1,1,1,0,0,0.5,0,0
,aeg,1,2,0,2,1,0,2,0.5,0,1
,afek,1,1,2,3,2,3,2,1,3,3
,form,0,0,0,0,0,1,1,1,1,1
,inter,2,3,0,1,2,0,2,0,3,0
,spont,2,1,1,0.5,1,1,2,0,0.5,0.5
,imp,0,0,0,2,0,0,1,0,0,0
,arg,1,0.5,0,0.5,0,0,3,0,0,0
,inst,0,0.5,0,0,0.5,0,0,0,1,0
,keer,2,1,0,0.5,0,0,0,0,2,0
,subj,2,2,2,2,2,3,1,0.5,1,1
www_director_ee.ela_529643.txt,abs,2,1,0,2,0.5,0,0,0,1,1
,info,0.5,0,2,2,2,1,0,2,0,1
,aeg,1,0,1,2,0,1,0.5,2,0,0
,afek,0,1,0,0,0,0.5,0,0.5,1,1
,form,0,0,0,0,0,0,1,0,0,0
,inter,2,2,2,0,0,1,0.5,0,3,0
,spont,2,0,1,0,1,0,1,0,1,0
,imp,1,1,1,0.5,1,0,0.5,0.5,0.5,0.5
,arg,0,0,0,0,0,2,1,0.5,0.5,0.5
,inst,1,2,0,1,2,1,0,0,2,0
,keer,0.5,0,1,2,1,0,0.5,0.5,2,0
,subj,0.5,0.5,0.5,0.5,0.5,2,2,1,2,1
et_wikipedia_org.ela_219301.txt,abs,3,2,2,2,3,1,3,2,2,1
,info,1,1,1,1,1,0.5,0.5,1,0,1
,aeg,1,0.5,1,0.5,1,0,0.5,0,0,1
,afek,0,0,0,0,0,0,0,0,0,0
,form,0.5,1,0.5,0.5,0,0.5,1,1,1,0
,inter,0,0,0,0,0,0,0,0,0,0
,spont,0,0,0,0,0,0,0,0,0,0.5
,imp,1,0,3,0.5,2,2,3,2,2,3
,arg,0,0,3,0,1,0,0,1,2,0.5
,inst,0,0,0,0.5,1,2,0,0,2,0
,keer,0,0,1,1,1,0,0,0,0,1
,subj,0,1,0,0,0,0.5,0,0,0,0
www_politsei_ee.ela_40109.txt,abs,1,1,0,0.5,0,0,1,0.5,0.5,0
,info,0.5,2,1,2,1,2,2,0,1,3
,aeg,1,1,1,2,1,1,2,0,0,3
,afek,0,0,0,0,0,1,0,0,0,0
,form,1,2,1,2,2,2,3,0.5,3,1
,inter,0,0,0,0,0,1,2,0,0,0
,spont,0,0,0,0,0,0,0,0,0,0
,imp,3,0,0,2,2,2,0,2,1,3
,arg,0,0,0,0,0,0.5,1,0,1,0
,inst,0,0,0,2,3,3,0,0,3,2
,keer,0,1,0,0,0,0,1,0,0,0
,subj,0,0,0,0,0,0,0,0,0,0
www_lounaleht_ee.ela_576969.txt,abs,1,1,1,0,0,0,0,0.5,0,0
,info,1,1,1,0.5,0,0.5,2,0,0,0.5
,aeg,0,0,1,1,0.5,2,0,1,0,2
,afek,0,0,0,0,0,1,1,1,1,0
,form,2,0.5,1,0,0.5,0,0.5,0.5,1,1
,inter,0,2,1,1,0,0,1,0,2,1
,spont,0,0,0,0,0,0,1,0,0,0
,imp,3,0,0,2,2,0.5,0.5,0.5,2,2
,arg,2,0,0,0,0,0.5,0.5,0.5,0.5,0.5
,inst,0,0,0,0.5,0,1,0,0,1,0
,keer,0,0,1,1,0,0,0,0,0,0
,subj,0.5,1,1,1,1,0,0,0,0,0
rahvahaal_delfi_ee.ela_258274.txt,abs,0,0,0,0,0,0,1,2,0,1
,info,0.5,0.5,0.5,0.5,1,2,0.5,1,0,2
,aeg,1,1,1,2,1,0.5,1,0,0,0.5
,afek,2,2,3,3,3,3,2,2,3,3
,form,1,1,1,1,1,0,0.5,0,0,0
,inter,0,0,1,0,0,0,0,0,1,0
,spont,1,1,1,1,1,1,2,1,1,1
,imp,0,0,0,3,2,1,1,1,1,1
,arg,3,0.5,3,0.5,2,2,1,2,1,2
,inst,0,1,0,2,1,1,0,0,0.5,0
,keer,0,0,0,0,0,0,0,0,1,0.5
,subj,2,3,3,3,3,1,1,2,0.5,3
arvamusaed_ee.ela_274676.txt,abs,2,1,1,2,0,0,2,0.5,2,2
,info,0,0.5,0.5,0.5,1,0,0.5,0,0,0.5
,aeg,0,0,0,0,0,0,1,0,0,0.5
,afek,1,2,3,2,3,0,0.5,2,1,2
,form,0.5,0.5,0,0,0,0,0,0.5,0,0
,inter,1,2,0.5,1,0,0,2,0,2,0
,spont,0,0,2,1,0,1,1,1,0,1
,imp,1,0,0,0.5,0.5,1,0,0.5,2,0
,arg,1,2,2,2,1,2,2,1,2,0
,inst,0,0.5,1,0,0.5,2,0,0,1,1
,keer,0,0.5,0.5,1,1,0,0,0.5,0.5,0
,subj,1,1,3,3,2,2,2,2,2,2
www_ekspress_ee.ela_495829.txt,abs,2,1,1,0,1,0,0.5,2,0.5,0.5
,info,0,2,2,0.5,3,1,2,0,0,2
,aeg,0,0.5,0.5,0.5,1,1,3,1,0,2
,afek,3,2,3,1,1,3,3,3,3,1
,form,0,0,0,0,0,0,0,0,0,0
,inter,3,3,3,3,3,2,3,3,1,2
,spont,3,3,3,3,3,3,2,3,3,3
,imp,1,0.5,0.5,0,1,0,1,0.5,0.5,3
,arg,2,1,1,2,2,0.5,2,0.5,0.5,0
,inst,0,2,0,1,2,1,2,0,0,0
,keer,1,2,2,3,3,0,0,0,2,3
,subj,3,3,1,1,0.5,3,3,3,3,2
www_ekspress_ee.ela_177019.txt,abs,2,3,2,3,3,1,3,3,3,3
,info,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0,3
,aeg,0,0,0.5,0.5,0,0,0.5,0,0,0.5
,afek,1,2,2,1,2,1,3,0.5,1,0.5
,form,1,1,1,1,1,0,0.5,0.5,0,0
,inter,3,3,3,3,3,1,2,2,2,3
